FisheryID,FisheryTitle
1,SE Alaska Troll
2,SE Alaska Net
3,SE Alaska Sport
4,BC No/Cent Net
5,BC WCVI Net
6,BC Georgia Strait Net
7,BC JDF Net
8,BC Outside Sport
9,BC No/Cent Troll
10,BC WCVI Troll
11,BC WCVI Sport
12,BC Georgia Strait Troll
13,BC N Georgia Strait Sport
14,BC S Georgia Strait Sport
15,BC JDF Sport
16,NT Area 3_4_4B Troll
17,Tr Area 3_4_4B Troll
18,NT Area 3_4 Sport
19,No Wash. Coastal Net
20,NT Area 2 Troll
21,Tr Area 2 Troll
22,NT Area 2 Sport
23,NrT G. Harbor Net
24,T G. Harbor Net
25,Willapa Bay Net
26,Area 1 Troll
27,Area 1 Sport
28,Columbia River Net
29,Buoy 10 Sport
30,Central OR Troll
31,Central OR Sport
32,KMZ Troll
33,KMZ Sport
34,So Calif. Troll
35,So Calif. Sport
36,NT Area 7 Sport
37,NT Area 6A_7_7A Net
38,Tr Area 6A_7_7A Net
39,NT Area 7B-7D Net
40,Tr Area 7B-7D Net
41,Tr JDF Troll
42,NT Area 5 Sport
43,NT JDF Net
44,Tr JDF Net
45,NT Area 8-1 Sport
46,NT Skagit Net
47,Tr Skagit Net
48,NT Area 8D Sport
49,NT St/Snohomish Net
50,Tr St/Snohomish Net
51,NT Tulalip Bay Net
52,Tr Tulalip Bay Net
53,NT Area 9 Sport
54,NT Area 6 Sport
55,Tr Area 6B_9 Net
56,NT Area 10 Sport
57,NT Area 11 Sport
58,NT Area 10_11 Net
59,Tr Area 10_11 Net
60,NT Area 10A Sport
61,Tr Area 10A Net
62,NT Area 10E Sport
63,Tr Area 10E Net
64,NT Area 12 Sport
65,NT Hood Canal Net
66,Tr Hood Canal Net
67,NT Area 13 Sport
68,NT SPS Net
69,Tr SPS Net
70,NT Area 13A Net
71,Tr Area 13A Net
72,Freshwater Sport
73,Freshwater Net
74,Escapement
